"weight","queue size","id","waiting time","duration","total request","priority","completed jobs"
1.5682538182032338E-6,8085,9776,87.9998,88.08190471668449,189,2,7
1.5648703011977657E-6,8084,6990,115.999374,9.607008184193019,226,2,47
1.5620736342668873E-6,8083,3202,154.19879,77.93433172561966,161,2,18
1.5612381159732613E-6,8082,5063,135.39908,32.914814244111604,375,3,18
1.561722277668643E-6,8081,8088,105.19954,99.37563576481891,118,3,30
1.5609566488876563E-6,8080,7345,112.79942,17.083989766228825,241,2,26
1.5610982674622063E-6,8079,8404,102.199585,5.134724835922482,396,2,30
1.5609003606134397E-6,8078,57,186.1983,1.1967910284949057,885,3,98
1.5636784141604604E-6,8077,707,179.9984,99.82749403220521,34,1,65
1.5629437520529053E-6,8076,8316,103.39957,18.468093792227133,366,3,23
1.5597170890819501E-6,8075,2264,164.39864,23.15011389511117,109,1,37
1.5584601707903858E-6,8074,3754,149.39886,7.93058176721847,272,1,21
1.5589811618658913E-6,8073,8060,106.39952,92.78370715938158,258,3,10
1.5585849650916631E-6,8072,6521,121.799286,3.6863966652173312,273,2,80
1.5608427720146184E-6,8071,1822,169.19856,35.15620918996207,55,1,73
1.5606365366721705E-6,8070,6739,119.79932,70.18209116296839,52,2,80
1.5622827340770545E-6,8069,13,187.79828,3.5578321824843804,988,3,37
1.5557471641583104E-6,8068,4054,146.9989,15.104343285514535,75,1,81
1.559388989030893E-6,8067,9335,94.19971,60.2906886264598,90,3,61
1.5590759684208006E-6,8066,3771,149.99886,5.2073696752148555,601,1,9
1.5579918250147717E-6,8065,8076,106.99951,99.83861107200757,446,3,4
1.5578156381758916E-6,8064,3372,154.19879,64.3876667777335,224,3,25
1.5465596763713985E-6,8063,2063,167.59859,61.04464508978414,103,3,89
1.5415639801642477E-6,8062,5333,134.79909,31.390269487707037,188,3,52
1.5426347111855998E-6,8061,651,181.99837,22.201182701212982,601,3,17
1.5399638568964468E-6,8060,2034,168.19858,5.571686638753855,339,2,59
1.5361596426609929E-6,8059,5932,129.19917,8.002079180238637,337,3,65
1.5351829514070682E-6,8058,8601,102.39958,70.0949545483042,344,3,8
1.5367605844273487E-6,8057,629,182.79836,26.851994133698927,825,3,9
1.5349428689809537E-6,8056,3638,152.39882,72.0275329886726,125,2,28
1.5346654764188633E-6,8055,1676,172.19852,29.36998863139252,416,3,22
1.5251363813586178E-6,8054,5308,135.59908,73.61001007373828,550,3,5
1.524761806429294E-6,8053,5902,129.59917,3.6050995277804465,577,3,56
1.5225137846934767E-6,8052,2476,164.19864,28.601155032967327,205,2,32
1.52190610350501E-6,8051,7831,110.19946,94.03485573043268,245,1,2
1.5204141249716595E-6,8050,5286,135.79907,81.3690158994665,55,2,75
1.5203771842947509E-6,8049,6143,127.1992,80.94145643967852,24,1,92
1.5196625304729528E-6,8048,7816,110.39946,26.979863884641063,44,1,83
1.5189547370797806E-6,8047,3233,156.39876,40.26290580089645,638,2,4
1.5179335557135888E-6,8046,5577,132.79912,39.26866666810431,578,2,4
1.5176505624651212E-6,8045,7329,115.39938,73.93898723296633,432,1,1
1.5112174056969274E-6,8044,5490,133.7991,14.807337131289971,156,2,67
1.5110387361139663E-6,8043,9864,89.799774,46.167515759439176,484,3,6
1.510961474184022E-6,8042,379,185.19832,92.05414552587692,147,2,22
1.5097285645535055E-6,8041,3744,151.19884,82.84782859479486,26,1,96
1.5068217947712963E-6,8040,7020,118.39934,36.0284542553488,147,3,59
1.5063194290324292E-6,8039,589,183.19835,15.33853770028828,673,3,20
1.5058038388039545E-6,8038,3644,152.19882,4.2513603020292345,633,3,51
1.5049187639400441E-6,8037,2801,160.79869,3.545502568775097,388,1,26
1.497036161799973E-6,8036,6946,119.199326,23.04562328597758,631,3,10
1.4957740945693279E-6,8035,3029,158.59872,36.67137237524291,187,2,29
1.4957490125241377E-6,8034,8619,102.39958,82.74955911108582,148,2,13
1.4952877237608672E-6,8033,179,187.19829,4.8547985703535605,397,1,23
1.4920483248025288E-6,8032,3742,151.39883,75.09205612376381,116,3,58
1.4882120524013614E-6,8031,428,184.79832,43.39890733316972,65,1,54
1.4866985062434531E-6,8030,3720,151.59883,9.805302958068651,312,3,74
1.4864108580974061E-6,8029,3342,155.39877,10.139432228532582,342,2,34
1.484909623350689E-6,8028,3252,156.19876,41.84581053855022,751,2,3
1.484277684609333E-6,8027,9234,96.19968,53.01901890531135,123,1,9
1.481722262701239E-6,8026,4372,144.99893,93.5597181607734,26,1,84
1.4799050581603507E-6,8025,5423,134.3991,16.702793084961908,326,3,40
1.4790846794826974E-6,8024,6929,119.39932,84.59939891938791,194,2,10
1.4776781329046017E-6,8023,2814,160.79869,98.7150176378954,925,3,2
1.477414567477939E-6,8022,795,180.99838,26.24441896533501,113,1,36
1.4659953542888045E-6,8021,5390,134.79909,4.230465154522678,560,3,55
1.4607929059438563E-6,8020,3134,157.39874,22.08197088025001,62,1,87
1.460028492362375E-6,8019,3455,154.19879,56.060874078781204,336,3,16
1.4592110621867998E-6,8018,753,181.39838,64.62340911871891,43,1,70
1.4572288434318863E-6,8017,375,185.19832,2.7627915764648563,991,3,46
1.4545564208794261E-6,8016,3081,157.99873,47.686807407265185,135,2,38
1.449389381177987E-6,8015,2854,160.3987,64.26636642863909,505,3,8
1.444682684813834E-6,8014,9671,91.79974,9.738269074958906,315,3,45
1.4432167399071135E-6,8013,1427,174.79848,21.149316544471702,345,2,21
1.4424646287987558E-6,8012,577,183.19835,55.02817823071016,125,1,17
1.441260402240365E-6,8011,8488,103.59956,57.48109686570249,257,2,8
1.4337527972165634E-6,8010,508,183.99834,30.182627726531496,293,2,21
1.4282291264321938E-6,8009,1723,171.59853,43.33026773229593,232,3,39
1.424391909010141E-6,8008,6050,128.19919,22.46856110421223,58,1,78
1.421179675896312E-6,8007,6097,127.5992,76.15044338004553,103,2,31
1.4187436717957273E-6,8006,3424,154.39879,54.46996215590875,475,2,5
1.4166246517773936E-6,8005,4716,141.59898,65.6976638270143,118,3,61
1.412890336068099E-6,8004,444,184.59833,8.939371284167766,175,1,48
1.4127439215088502E-6,8003,9198,96.59967,78.75789077916275,496,3,4
1.412607140125941E-6,8002,3470,153.9988,35.434575441825444,162,2,37
1.4122934832864437E-6,8001,3187,156.99875,67.63563606375068,117,3,67
1.4120906603570422E-6,8000,11,188.99826,44.24358086291271,498,2,7
1.4113950059654254E-6,7999,988,178.99841,65.50634635985857,64,1,39
1.4103923689161035E-6,7998,1191,176.99844,32.64846197687485,149,1,20
1.4102772058160064E-6,7997,7745,110.99945,9.85253203930513,135,2,99
1.408793379162134E-6,7996,9593,92.59973,39.29584655531526,83,2,54
1.4031064862453712E-6,7995,1932,169.59856,47.88221899677457,46,1,78
1.4016280497377516E-6,7994,5258,135.99907,21.68312147693107,346,1,6
1.4006433691113413E-6,7993,6973,118.99933,3.15746664231581,307,2,79
1.3981183841824397E-6,7992,8654,101.99959,52.618362565647764,39,1,55
1.3977259290303108E-6,7991,5502,133.5991,10.372244457659665,580,1,5
1.39632807368406E-6,7990,1536,173.5985,66.41452672677921,139,2,31
1.3915036119089381E-6,7989,4291,145.79892,38.39313136585888,984,2,2
1.3874167451540625E-6,7988,3228,156.39876,32.915676307399025,470,3,16
1.3870736427371524E-6,7987,2178,167.1986,46.7265695041029,968,2,2
1.3846087746588266E-6,7986,1039,178.59842,50.85910118910466,259,2,16
1.3804009895620543E-6,7985,2944,159.39871,54.25416191418736,861,2,2
1.3784447732110775E-6,7984,4608,142.59897,61.24117165158571,58,2,98
1.3784188758433843E-6,7983,4293,145.79892,4.939768471957645,866,2,15
1.3762415239151933E-6,7982,9884,89.59978,31.0004032673634,123,3,69
1.3761719864650809E-6,7981,1579,173.1985,5.425103671881342,333,2,68
1.3737123091256914E-6,7980,218,186.7983,23.626152660630208,171,1,23
1.3711663929133143E-6,7979,4487,143.79895,16.436334531013895,424,1,6
1.3707328756466076E-6,7978,6510,123.59926,91.27140575337165,157,2,14
1.3704456086891414E-6,7977,8867,99.79962,10.609159355640713,665,2,8
1.3684949051645969E-6,7976,8362,104.99954,29.469944418976166,291,3,24
1.3636034206394943E-6,7975,8873,99.79962,67.28979394981815,126,3,39
1.3602984332971627E-6,7974,4334,145.39893,31.486644737172366,592,3,11
1.3576043779718573E-6,7973,1735,171.59853,13.429362293039599,223,2,59
1.3575606377804153E-6,7972,9398,94.5997,48.291158436427544,75,2,55
1.3567972425513122E-6,7971,8233,106.199524,27.503496322728115,315,3,23
1.3548075615074637E-6,7970,2374,165.19862,12.198031691695542,442,3,43
1.3512043206632601E-6,7969,1249,176.39845,95.49997979149346,685,3,4
1.3499002745545973E-6,7968,1550,173.3985,49.053466026022285,293,1,5
1.3489246787645792E-6,7967,3088,157.99873,7.067131103586853,158,1,59
1.348038277011645E-6,7966,2748,161.39868,98.4953571554559,487,2,3
1.3472386269336807E-6,7965,2913,159.7987,64.13234390916497,481,3,9
1.3469602957055073E-6,7964,7444,114.1994,3.680866870724887,476,3,69
1.3467362836287856E-6,7963,174,187.39828,1.8029867685136867,523,2,90
1.3466657157614665E-6,7962,9132,97.19966,4.510610347336084,600,1,7
1.3391290435420492E-6,7961,3156,157.19875,69.63724898757518,311,3,16
1.3335382223496986E-6,7960,4320,145.39893,60.25529562130612,134,3,58
1.3268613780924935E-6,7959,1555,173.3985,1.5902522409621085,540,2,88
